Método,Modelo,N,Correctos,Errores (FP),Tasa error,Acc,Detectados (TP),Perdidos (FN),FNR
real,Baseline,1400,1118.0,282.0,0.2014,0.7986,,,
real,BiFPN,1400,1107.0,293.0,0.2093,0.7907,,,
real,FNO,1400,1047.0,353.0,0.2521,0.7479,,,
Deepfakes,Baseline,1400,,,,0.8079,1131.0,269.0,0.1921
Deepfakes,BiFPN,1400,,,,0.8036,1125.0,275.0,0.1964
Deepfakes,FNO,1400,,,,0.8343,1168.0,232.0,0.1657
Face2Face,Baseline,1400,,,,0.6607,925.0,475.0,0.3393
Face2Face,BiFPN,1400,,,,0.6443,902.0,498.0,0.3557
Face2Face,FNO,1400,,,,0.715,1001.0,399.0,0.285
FaceShifter,Baseline,1400,,,,0.7786,1090.0,310.0,0.2214
FaceShifter,BiFPN,1400,,,,0.7586,1062.0,338.0,0.2414
FaceShifter,FNO,1400,,,,0.8086,1132.0,268.0,0.1914
FaceSwap,Baseline,1401,,,,0.7338,1028.0,373.0,0.2662
FaceSwap,BiFPN,1401,,,,0.6995,980.0,421.0,0.3005
FaceSwap,FNO,1401,,,,0.7859,1101.0,300.0,0.2141
NeuralTextures,Baseline,1400,,,,0.5479,767.0,633.0,0.4521
NeuralTextures,BiFPN,1400,,,,0.5421,759.0,641.0,0.4579
NeuralTextures,FNO,1400,,,,0.6257,876.0,524.0,0.3743
