epoch,train_loss,train_acc,val_loss,val_acc,val_auc
1,0.43863089561462404,0.7520138888888889,0.36586677202156614,0.8396428571428571,0.9256821428571428
2,0.22300391922394436,0.8878472222222222,0.5046253150275776,0.8439285714285715,0.9458127551020409
3,0.15859236048327552,0.9227083333333334,0.42595279608720116,0.8778571428571429,0.9494497448979593
4,0.1264084644118945,0.9409027777777778,0.4713339225216103,0.8864285714285715,0.9586244897959185
5,0.11192802378700839,0.9484027777777778,0.5285886890334742,0.8746428571428572,0.9583168367346937
6,0.09939107191231515,0.9534027777777778,0.45481925058843836,0.8925,0.9618339285714286
7,0.08963835020032195,0.9577777777777777,0.5318079056165048,0.8857142857142857,0.9635556122448978
8,0.08173956206275357,0.9613194444444444,0.4687086552900395,0.8942857142857142,0.9658801020408163
9,0.07842049195534653,0.9631944444444445,0.412805240260038,0.8975,0.9657076530612245
10,0.0685302605955965,0.9692361111111111,0.43873722076149924,0.8957142857142857,0.9666408163265305
